Frame;DeltaTime(ms);FPS(1.0 / deltaTime);Particle Count(int)
1241;1.9146;522;0
1242;1.1877;842;0
1243;1.1073;903;0
1244;1.8403;543;0
1245;1.1715;854;0
1246;1.1969;835;0
1247;1.8132;552;0
1248;1.2044;830;0
1249;1.1158;896;0
1250;1.8835;531;0
1251;1.1882;842;0
1252;1.1275;887;0
1253;1.8479;541;0
1254;1.2038;831;0
1255;1.1048;905;0
1256;1.829;547;0
1257;1.1688;856;0
1258;1.1263;888;0
1259;1.9092;524;0
1260;1.187;842;0
1261;1.1142;898;0
1262;1.8873;530;0
1263;1.1885;841;0
1264;1.1606;862;0
1265;1.7944;557;0
1266;1.2099;827;0
1267;1.0989;910;0
1268;2.2438;446;0
1269;0.8105;1234;0
1270;1.1463;872;0
1271;1.8621;537;0
1272;1.3242;755;0
1273;2.0544;487;0
1274;1.2163;822;0
1275;1.1561;865;0
1276;1.8781;532;0
1277;1.1835;845;0
1278;1.1673;857;0
1279;1.9003;526;0
1280;1.1835;845;0
1281;1.1187;894;0
1282;1.895;528;0
1283;1.2299;813;0
1284;1.2037;831;0
1285;1.9034;525;0
1286;1.2113;826;0
1287;1.1466;872;0
1288;1.9043;525;0
1289;1.1946;837;0
1290;1.1519;868;0
1291;2.0744;482;0
1292;1.2153;823;0
1293;1.1279;887;0
1294;2.0535;487;0
1295;1.1902;840;0
1296;1.4619;684;0
1297;1.4583;686;0
1298;1.2169;822;0
1299;1.1163;896;0
1300;1.7815;561;0
1301;1.1924;839;0
1302;1.1339;882;0
1303;1.8542;539;0
1304;1.2026;832;0
1305;1.1106;900;0
1306;1.8933;528;0
1307;1.1809;847;0
1308;2.7096;369;0
1309;1.902;526;0
1310;2.6738;374;0
1311;1.1909;840;0
1312;1.9397;516;0
1313;1.1849;844;0
1314;1.1629;860;0
1315;1.8342;545;0
1316;1.3036;767;0
1317;1.2187;821;0
1318;1.9771;506;0
1319;4.2673;234;0
1320;2.6735;374;0
1321;1.1777;849;0
1322;4.5057;222;0
1323;1.1779;849;0
1324;1.6483;607;0
1325;5.0417;198;0
1326;1.1775;849;0
1327;1.1577;864;0
1328;5.514;181;0
1329;1.1901;840;0
1330;1.1911;840;0
1331;1.1325;883;0
1332;2.0801;481;0
1333;1.1965;836;0
1334;1.4616;684;0
1335;1.6312;613;0
1336;1.2224;818;0
1337;1.1466;872;0
1338;1.7803;562;0
1339;1.206;829;0
1340;1.1566;865;0
1341;1.78;562;0
1342;1.2093;827;0
1343;1.1212;892;0
1344;1.862;537;0
1345;1.3053;766;0
1346;2.0455;489;0
1347;1.2025;832;0
1348;1.1964;836;0
1349;1.8609;537;0
1350;1.5568;642;0
1351;0.8596;1163;0
1352;1.939;516;0
1353;1.1993;834;0
1354;1.1841;845;0
1355;2.4782;404;0
1356;0.9737;1027;0
1357;1.2134;824;0
1358;1.8863;530;0
1359;1.1887;841;0
1360;1.1711;854;0
1361;2.1567;464;0
1362;0.9308;1074;0
1363;1.4484;690;0
1364;1.4688;681;0
1365;1.1704;854;0
1366;1.6347;612;0
1367;1.3582;736;0
1368;1.2706;787;0
1369;1.1403;877;0
1370;1.9955;501;0
1371;1.5593;641;0
1372;1.6437;608;0
1373;1.2021;832;0
1374;1.1999;833;0
1375;1.8789;532;0
1376;1.5136;661;0
1377;0.8714;1148;0
1378;1.9658;509;0
1379;1.2117;825;0
1380;1.1868;843;0
1381;2.4505;408;0
1382;0.9403;1063;0
1383;1.176;850;0
1384;1.7834;561;0
1385;1.188;842;0
1386;1.165;858;0
1387;2.13;469;0
1388;1.0872;920;0
1389;2.0211;495;0
1390;1.2704;787;0
1391;1.5174;659;0
1392;1.6729;598;0
1393;1.1886;841;0
1394;1.1713;854;0
1395;1.9106;523;0
1396;1.5762;634;0
1397;0.886;1129;0
1398;2.1185;472;0
1399;1.2089;827;0
1400;1.1805;847;0
1401;2.0886;479;0
1402;0.9606;1041;0
1403;1.1459;873;0
1404;1.7937;558;0
1405;1.1882;842;0
1406;1.1663;857;0
1407;2.0978;477;0
1408;0.9406;1063;0
1409;1.1407;877;0
1410;1.8166;550;0
1411;1.3158;760;0
1412;2.0018;500;0
1413;1.0726;932;0
1414;1.2105;826;0
1415;1.9377;516;0
1416;1.2658;790;0
1417;1.4751;678;0
1418;1.6426;609;0
1419;1.2333;811;0
1420;1.1724;853;0
1421;1.9157;522;0
1422;1.6072;622;0
1423;0.8932;1120;0
1424;2.162;463;0
1425;1.2126;825;0
1426;1.4496;690;0
1427;1.7593;568;0
1428;0.9266;1079;0
1429;1.1284;886;0
1430;1.8154;551;0
1431;1.1725;853;0
1432;1.3216;757;0
1433;1.9765;506;0
1434;0.9651;1036;0
1435;1.1778;849;0
1436;1.8161;551;0
1437;1.1754;851;0
1438;1.9901;502;0
1439;1.2228;818;0
1440;1.194;838;0
1441;1.9019;526;0
1442;1.2632;792;0
1443;1.4962;668;0
1444;1.6006;625;0
1445;1.193;838;0
1446;1.1834;845;0
1447;1.9098;524;0
1448;1.1964;836;0
1449;1.1347;881;0
1450;1.9497;513;0
1451;1.1801;847;0
1452;1.1591;863;0
1453;2.4225;413;0
1454;0.9194;1088;0
1455;1.1674;857;0
1456;1.8438;542;0
1457;1.1737;852;0
1458;1.1574;864;0
1459;2.1549;464;0
1460;0.9362;1068;0
1461;1.1254;889;0
1462;1.7744;564;0
1463;1.188;842;0
1464;1.1636;859;0
1465;1.8861;530;0
1466;1.2331;811;0
1467;1.1153;897;0
1468;1.7778;562;0
1469;1.1913;839;0
1470;1.4971;668;0
1471;1.482;675;0
1472;1.1915;839;0
1473;1.1446;874;0
1474;1.8391;544;0
1475;1.471;680;0
1476;0.8873;1127;0
1477;1.8447;542;0
1478;1.2242;817;0
1479;1.1058;904;0
1480;1.8179;550;0
1481;1.1876;842;0
1482;1.1427;875;0
1483;1.8436;542;0
1484;1.1998;833;0
1485;1.1194;893;0
1486;1.85;541;0
1487;1.172;853;0
1488;1.21;826;0
1489;1.9994;500;0
1490;1.2123;825;0
1491;1.1746;851;0
1492;1.7803;562;0
1493;1.1942;837;0
1494;1.9183;521;0
1495;1.2158;823;0
1496;1.1908;840;0
1497;1.8845;531;0
1498;1.2047;830;0
1499;1.1791;848;0
1500;1.9659;509;0
1501;1.1695;855;0
1502;1.1964;836;0
1503;1.9034;525;0
1504;1.2215;819;0
1505;1.1343;882;0
1506;1.9026;526;0
1507;1.1597;862;0
1508;1.1593;863;0
1509;1.8802;532;0
1510;1.2683;788;0
1511;1.1545;866;0
1512;2.1122;473;0
1513;1.1857;843;0
1514;1.1478;871;0
1515;1.8445;542;0
1516;1.2094;827;0
1517;1.1188;894;0
1518;1.8291;547;0
1519;1.1742;852;0
1520;1.1321;883;0
1521;1.8842;531;0
1522;1.2243;817;0
1523;1.4982;667;0
1524;1.4604;685;0
1525;1.1832;845;0
1526;1.1441;874;0
1527;1.8458;542;0
1528;1.4988;667;0
1529;0.837;1195;0
1530;1.8362;545;0
1531;1.191;840;0
1532;1.1377;879;0
1533;2.1205;472;0
1534;0.926;1080;0
1535;1.1159;896;0
1536;1.8639;537;0
1537;1.1796;848;0
1538;1.1429;875;0
1539;2.1355;468;0
1540;0.9382;1066;0
1541;1.1106;900;0
1542;1.8077;553;0
1543;1.1785;849;0
1544;1.5731;636;0
1545;1.4758;678;0
1546;1.1951;837;0
1547;1.145;873;0
1548;1.8544;539;0
1549;1.5993;625;0
1550;1.7133;584;0
1551;1.1946;837;0
1552;1.1772;849;0
1553;1.8907;529;0
1554;1.6454;608;0
1555;0.7737;1292;0
1556;1.9709;507;0
1557;1.1763;850;0
1558;1.162;861;0
1559;1.8838;531;0
1560;1.5536;644;0
1561;0.879;1138;0
1562;2.1655;462;0
1563;1.1725;853;0
1564;1.1779;849;0
1565;2.2687;441;0
1566;0.9335;1071;0
1567;1.1446;874;0
1568;1.7849;560;0
1569;1.19;840;0
1570;1.472;679;0
1571;1.4663;682;0
1572;1.2125;825;0
1573;1.1098;901;0
1574;1.8519;540;0
1575;1.5745;635;0
1576;1.9113;523;0
1577;1.1508;869;0
1578;1.2013;832;0
1579;1.9139;522;0
1580;1.4909;671;0
1581;0.868;1152;0
1582;1.9345;517;0
1583;1.1773;849;0
1584;1.1648;859;0
1585;2.2072;453;0
1586;0.9348;1070;0
1587;1.2302;813;0
1588;2.1377;468;0
1589;1.2023;832;0
1590;1.1494;870;0
1591;2.1117;474;0
1592;0.9155;1092;0
1593;1.1407;877;0
1594;1.7464;573;0
1595;1.1818;846;0
1596;1.4816;675;0
1597;1.5297;654;0
1598;1.1934;838;0
1599;1.2034;831;0
1600;1.8114;552;0
1601;1.5208;658;0
1602;0.8735;1145;0
1603;1.7682;566;0
1604;1.2209;819;0
1605;1.1256;888;0
1606;1.8173;550;0
1607;1.189;841;0
1608;1.1634;860;0
1609;1.8432;543;0
1610;1.2113;826;0
1611;1.1293;886;0
1612;2.146;466;0
1613;0.8728;1146;0
1614;1.1575;864;0
1615;2.0719;483;0
1616;1.2595;794;0
1617;2.2607;442;0
1618;0.9476;1055;0
1619;1.1599;862;0
1620;1.9133;523;0
1621;1.217;822;0
1622;1.6157;619;0
1623;1.8113;552;0
1624;1.2566;796;0
1625;1.1441;874;0
1626;1.8712;534;0
1627;1.4504;689;0
1628;0.8897;1124;0
1629;1.8058;554;0
1630;1.2096;827;0
1631;1.1442;874;0
1632;1.8722;534;0
1633;1.4837;674;0
1634;0.8794;1137;0
1635;1.8102;552;0
1636;1.231;812;0
1637;1.1535;867;0
1638;1.7778;562;0
1639;1.1818;846;0
1640;1.1394;878;0
1641;1.8232;548;0
1642;1.2116;825;0
1643;1.1311;884;0
1644;2.0408;490;0
1645;1.1952;837;0
1646;1.9178;521;0
1647;1.1979;835;0
1648;1.1811;847;0
1649;2.2323;448;0
1650;0.8874;1127;0
1651;1.1716;854;0
1652;1.9316;518;0
1653;1.1737;852;0
1654;1.5444;648;0
1655;1.6884;592;0
1656;2.7619;362;0
1657;3.0316;330;0
1658;0.8765;1141;0
1659;4.1633;240;0
