Frame;DeltaTime(ms);FPS(1.0 / deltaTime);Particle Count(int)
288;1.3363;748;0
289;1.2775;783;0
290;2.1334;469;0
291;1.351;740;0
292;2.1031;475;0
293;1.3758;727;0
294;1.361;735;0
295;2.2014;454;0
296;1.3306;752;0
297;2.0477;488;0
298;1.3697;730;0
299;1.2574;795;0
300;2.2705;440;0
301;1.3145;761;0
302;2.1089;474;0
303;1.2792;782;0
304;1.2621;792;0
305;2.1414;467;0
306;1.2754;784;0
307;2.0186;495;0
308;1.3438;744;0
309;1.2335;811;0
310;2.0373;491;0
311;1.2829;779;0
312;1.324;755;0
313;2.2386;447;0
314;3.6438;274;0
315;2.0637;485;0
316;2.2992;435;0
317;1.2992;770;0
318;2.0386;491;0
319;1.2913;774;0
320;1.3074;765;0
321;2.0836;480;0
322;4.9505;202;0
323;2.3334;429;0
324;5.0634;197;0
325;0.998;1002;0
326;1.2656;790;0
327;5.8205;172;0
328;1.0104;990;0
329;1.2156;823;0
330;5.9489;168;0
331;0.9842;1016;0
332;1.2414;806;0
333;1.9757;506;0
334;1.5818;632;0
335;0.9555;1047;0
336;2.0023;499;0
337;1.2571;795;0
338;1.2837;779;0
339;2.5376;394;0
340;0.9974;1003;0
341;2.0079;498;0
342;1.2779;783;0
343;1.2248;816;0
344;2.3486;426;0
345;0.9618;1040;0
346;1.2426;805;0
347;2.1913;456;0
348;1.6053;623;0
349;1.6886;592;0
350;1.2829;779;0
351;1.2303;813;0
352;2.0356;491;0
353;1.5589;641;0
354;0.9797;1021;0
355;2.1503;465;0
356;1.2887;776;0
357;1.9679;508;0
358;1.609;622;0
359;0.9523;1050;0
360;2.0229;494;0
361;1.2749;784;0
362;1.2494;800;0
363;2.4838;403;0
364;0.9872;1013;0
365;1.9628;509;0
366;1.2718;786;0
367;1.2231;818;0
368;2.4216;413;0
369;0.9973;1003;0
370;1.2661;790;0
371;2.1459;466;0
372;1.2919;774;0
373;1.9691;508;0
374;1.281;781;0
375;1.2094;827;0
376;2.0124;497;0
377;1.253;798;0
378;1.2732;785;0
379;2.2072;453;0
380;1.3023;768;0
381;1.9746;506;0
382;1.3028;768;0
383;1.2071;828;0
384;2.0198;495;0
385;1.2486;801;0
386;1.2267;815;0
387;2.1841;458;0
388;1.3705;730;0
389;2.0438;489;0
390;1.3252;755;0
391;1.2419;805;0
392;2.2093;453;0
393;1.2506;800;0
394;1.5732;636;0
395;1.5362;651;0
396;1.2411;806;0
397;2.0702;483;0
398;1.3191;758;0
399;1.2087;827;0
400;2.0582;486;0
401;1.2749;784;0
402;1.2451;803;0
403;1.951;513;0
404;1.2783;782;0
405;1.9366;516;0
406;1.2674;789;0
407;1.2003;833;0
408;2.024;494;0
409;1.2453;803;0
410;1.2481;801;0
411;2.1394;467;0
412;1.2789;782;0
413;1.2085;827;0
414;1.8293;547;0
415;1.2791;782;0
416;1.9637;509;0
417;1.2564;796;0
418;1.247;802;0
419;1.9428;515;0
420;1.2511;799;0
421;1.1964;836;0
